dataset,method,1,2,3,4,5,6,7,8,9,10
cancer,CA,0.9490241493644335,0.963743798780295,0.963743798780295,0.963743798780295,0.963743798780295,0.963743798780295,0.963743798780295,0.963743798780295,0.963743798780295,0.963743798780295
cancer,CR,0.9103110216837553,0.9185990906704081,0.9114671428222682,0.9185990906704081,0.9262226190185567,0.9490241493644335,0.9416058394160584,0.9564024348956571,0.9564024348956571,0.9564024348956571
cancer,DA,0.9490241493644335,0.9490241493644335,0.9490241493644335,0.9490241493644335,0.9490241493644335,0.9490241493644335,0.9490241493644335,0.9490241493644335,0.9490241493644335,0.9490241493644335
cancer,DMCO,0.9564024348956571,0.9564024348956571,0.955981777708754,0.9266362961812566,0.9266362961812566,0.9266362961812566,0.9266362961812566,0.9266362961812566,0.9266362961812566,0.9266362961812566
cancer,DR,0.8945867659646702,0.8945867659646702,0.8945867659646702,0.8945867659646702,0.8945867659646702,0.8945867659646702,0.8945867659646702,0.8945867659646702,0.8945867659646702,0.8945867659646702
