method,validation_metric,test_metric,elapsed_seconds,cleaned_count,dataset,task,metric,budget_point,budget_seconds,paper_test_metric,paper_validation_metric
DR,0.9089182811042203,0.8945867659646702,0.01697397232055664,0,cancer,classification,f1,1,30,0.8945867659646702,0.9089182811042203
DA,0.9853272592362515,0.9490241493644335,0.5081889629364014,0,cancer,classification,f1,1,30,0.9490241493644335,0.9853272592362515
CR,0.9478624199529636,0.9103110216837553,0.004945039749145508,41,cancer,classification,f1,1,30,0.9103110216837553,0.9478624199529636
CA,0.9853272592362515,0.9490241493644335,0.5140981674194336,41,cancer,classification,f1,1,30,0.9490241493644335,0.9853272592362515
DMCO,0.9853272592362515,0.9564024348956571,1.5037248134613037,25,cancer,classification,f1,1,30,0.9564024348956571,0.9853272592362515
DR,0.9089182811042203,0.8945867659646702,0.004479885101318359,0,cancer,classification,f1,2,60,0.8945867659646702,0.9089182811042203
DA,0.9853272592362515,0.9490241493644335,0.42435407638549805,0,cancer,classification,f1,2,60,0.9490241493644335,0.9853272592362515
CR,0.9629995866683673,0.9185990906704081,0.004683732986450195,82,cancer,classification,f1,2,60,0.9185990906704081,0.9629995866683673
CA,0.9708029197080292,0.963743798780295,0.4604160785675049,82,cancer,classification,f1,2,60,0.963743798780295,0.9708029197080292
DMCO,0.9853272592362515,0.9564024348956571,1.2332680225372314,54,cancer,classification,f1,2,60,0.9564024348956571,0.9853272592362515
DR,0.9089182811042203,0.8945867659646702,0.004443168640136719,0,cancer,classification,f1,3,90,0.8945867659646702,0.9089182811042203
DA,0.9853272592362515,0.9490241493644335,0.4351840019226074,0,cancer,classification,f1,3,90,0.9490241493644335,0.9853272592362515
CR,0.9779304728589698,0.9114671428222682,0.0047152042388916016,123,cancer,classification,f1,3,90,0.9114671428222682,0.9779304728589698
CA,0.9780481052159413,0.963743798780295,0.4716460704803467,123,cancer,classification,f1,3,90,0.963743798780295,0.9780481052159413
DMCO,0.9481994213357142,0.955981777708754,1.7811570167541504,52,cancer,classification,f1,3,90,0.955981777708754,0.9481994213357142
DR,0.9089182811042203,0.8945867659646702,0.004908084869384766,0,cancer,classification,f1,4,120,0.8945867659646702,0.9089182811042203
DA,0.9853272592362515,0.9490241493644335,0.43199586868286133,0,cancer,classification,f1,4,120,0.9490241493644335,0.9853272592362515
CR,0.9853272592362515,0.9185990906704081,0.004569053649902344,164,cancer,classification,f1,4,120,0.9185990906704081,0.9853272592362515
CA,0.9853272592362515,0.963743798780295,0.4362637996673584,164,cancer,classification,f1,4,120,0.963743798780295,0.9853272592362515
DMCO,0.9629995866683673,0.9266362961812566,0.5170121192932129,68,cancer,classification,f1,4,120,0.9266362961812566,0.9629995866683673
DR,0.9089182811042203,0.8945867659646702,0.005758762359619141,0,cancer,classification,f1,5,150,0.8945867659646702,0.9089182811042203
DA,0.9853272592362515,0.9490241493644335,0.42237281799316406,0,cancer,classification,f1,5,150,0.9490241493644335,0.9853272592362515
CR,0.9779304728589698,0.9262226190185567,0.004433155059814453,205,cancer,classification,f1,5,150,0.9262226190185567,0.9779304728589698
CA,0.9780481052159413,0.963743798780295,0.42467713356018066,205,cancer,classification,f1,5,150,0.963743798780295,0.9780481052159413
DMCO,0.9629995866683673,0.9266362961812566,0.5054330825805664,84,cancer,classification,f1,5,150,0.9266362961812566,0.9629995866683673
DR,0.9089182811042203,0.8945867659646702,0.004449129104614258,0,cancer,classification,f1,6,180,0.8945867659646702,0.9089182811042203
DA,0.9853272592362515,0.9490241493644335,0.42949485778808594,0,cancer,classification,f1,6,180,0.9490241493644335,0.9853272592362515
CR,0.9853272592362515,0.9490241493644335,0.0045108795166015625,246,cancer,classification,f1,6,180,0.9490241493644335,0.9853272592362515
CA,0.9780481052159413,0.963743798780295,0.4530940055847168,246,cancer,classification,f1,6,180,0.963743798780295,0.9780481052159413
DMCO,0.9629995866683673,0.9266362961812566,0.5107100009918213,100,cancer,classification,f1,6,180,0.9266362961812566,0.9629995866683673
DR,0.9089182811042203,0.8945867659646702,0.005427122116088867,0,cancer,classification,f1,7,210,0.8945867659646702,0.9089182811042203
DA,0.9853272592362515,0.9490241493644335,0.4309558868408203,0,cancer,classification,f1,7,210,0.9490241493644335,0.9853272592362515
CR,0.9853272592362515,0.9416058394160584,0.004577159881591797,287,cancer,classification,f1,7,210,0.9416058394160584,0.9853272592362515
CA,0.9708029197080292,0.963743798780295,0.47083592414855957,287,cancer,classification,f1,7,210,0.963743798780295,0.9708029197080292
DMCO,0.9629995866683673,0.9266362961812566,0.5059289932250977,116,cancer,classification,f1,7,210,0.9266362961812566,0.9629995866683673
DR,0.9089182811042203,0.8945867659646702,0.004973173141479492,0,cancer,classification,f1,8,240,0.8945867659646702,0.9089182811042203
DA,0.9853272592362515,0.9490241493644335,0.4345970153808594,0,cancer,classification,f1,8,240,0.9490241493644335,0.9853272592362515
CR,0.9853272592362515,0.9564024348956571,0.004579067230224609,328,cancer,classification,f1,8,240,0.9564024348956571,0.9853272592362515
CA,0.9780481052159413,0.963743798780295,0.4261491298675537,328,cancer,classification,f1,8,240,0.963743798780295,0.9780481052159413
DMCO,0.9629995866683673,0.9266362961812566,0.5226480960845947,132,cancer,classification,f1,8,240,0.9266362961812566,0.9629995866683673
DR,0.9089182811042203,0.8945867659646702,0.004384040832519531,0,cancer,classification,f1,9,270,0.8945867659646702,0.9089182811042203
DA,0.9853272592362515,0.9490241493644335,0.42842960357666016,0,cancer,classification,f1,9,270,0.9490241493644335,0.9853272592362515
CR,0.9853272592362515,0.9564024348956571,0.0045697689056396484,369,cancer,classification,f1,9,270,0.9564024348956571,0.9853272592362515
CA,0.9780481052159413,0.963743798780295,0.42061495780944824,369,cancer,classification,f1,9,270,0.963743798780295,0.9780481052159413
DMCO,0.9629995866683673,0.9266362961812566,0.5025999546051025,148,cancer,classification,f1,9,270,0.9266362961812566,0.9629995866683673
DR,0.9089182811042203,0.8945867659646702,0.004356861114501953,0,cancer,classification,f1,10,300,0.8945867659646702,0.9089182811042203
DA,0.9853272592362515,0.9490241493644335,0.41875672340393066,0,cancer,classification,f1,10,300,0.9490241493644335,0.9853272592362515
CR,0.9853272592362515,0.9564024348956571,0.004582881927490234,409,cancer,classification,f1,10,300,0.9564024348956571,0.9853272592362515
CA,0.9853272592362515,0.963743798780295,0.4021177291870117,409,cancer,classification,f1,10,300,0.963743798780295,0.9853272592362515
DMCO,0.9629995866683673,0.9266362961812566,0.5109069347381592,164,cancer,classification,f1,10,300,0.9266362961812566,0.9629995866683673
