method,validation_metric,test_metric,elapsed_seconds,cleaned_count,dataset,task,metric,budget_point,budget_seconds,paper_test_metric,paper_validation_metric
DR,0.9089182811042203,0.8945867659646702,0.01100611686706543,0,cancer,classification,f1,1,30,0.8945867659646702,0.9089182811042203
DA,0.9168492052133099,0.870417581972327,0.06216692924499512,0,cancer,classification,f1,1,30,0.870417581972327,0.9168492052133099
CR,0.9478624199529636,0.9103110216837553,0.0049517154693603516,41,cancer,classification,f1,1,30,0.9103110216837553,0.9478624199529636
CA,0.9478624199529636,0.9109171691526501,0.06155705451965332,41,cancer,classification,f1,1,30,0.9109171691526501,0.9478624199529636
DMCO,0.8937379946215905,0.8945867659646702,0.11072802543640137,20,cancer,classification,f1,1,30,0.8945867659646702,0.8937379946215905
DR,0.9089182811042203,0.8945867659646702,0.004505157470703125,0,cancer,classification,f1,2,60,0.8945867659646702,0.9089182811042203
DA,0.9168492052133099,0.870417581972327,0.05472278594970703,0,cancer,classification,f1,2,60,0.870417581972327,0.9168492052133099
CR,0.9629995866683673,0.9185990906704081,0.004464149475097656,82,cancer,classification,f1,2,60,0.9185990906704081,0.9629995866683673
CA,0.9780481052159413,0.9564024348956571,0.054461002349853516,82,cancer,classification,f1,2,60,0.9564024348956571,0.9780481052159413
DMCO,0.9629995866683673,0.9333992560030612,0.2615058422088623,45,cancer,classification,f1,2,60,0.9333992560030612,0.9629995866683673
DR,0.9089182811042203,0.8945867659646702,0.0043909549713134766,0,cancer,classification,f1,3,90,0.8945867659646702,0.9089182811042203
DA,0.9168492052133099,0.870417581972327,0.05413198471069336,0,cancer,classification,f1,3,90,0.870417581972327,0.9168492052133099
CR,0.9779304728589698,0.9114671428222682,0.0044097900390625,123,cancer,classification,f1,3,90,0.9114671428222682,0.9779304728589698
CA,0.9781532068704714,0.963743798780295,0.05324387550354004,123,cancer,classification,f1,3,90,0.963743798780295,0.9781532068704714
DMCO,0.9554585845763249,0.9257643076272083,0.24674201011657715,52,cancer,classification,f1,3,90,0.9257643076272083,0.9554585845763249
DR,0.9089182811042203,0.8945867659646702,0.00437617301940918,0,cancer,classification,f1,4,120,0.8945867659646702,0.9089182811042203
DA,0.9168492052133099,0.870417581972327,0.05417490005493164,0,cancer,classification,f1,4,120,0.870417581972327,0.9168492052133099
CR,0.9853272592362515,0.9185990906704081,0.004315853118896484,164,cancer,classification,f1,4,120,0.9185990906704081,0.9853272592362515
CA,0.9781532068704714,0.963743798780295,0.05901503562927246,164,cancer,classification,f1,4,120,0.963743798780295,0.9781532068704714
DMCO,0.9629995866683673,0.9266362961812566,0.10665178298950195,68,cancer,classification,f1,4,120,0.9266362961812566,0.9629995866683673
DR,0.9089182811042203,0.8945867659646702,0.004344940185546875,0,cancer,classification,f1,5,150,0.8945867659646702,0.9089182811042203
DA,0.9168492052133099,0.870417581972327,0.05393171310424805,0,cancer,classification,f1,5,150,0.870417581972327,0.9168492052133099
CR,0.9779304728589698,0.9262226190185567,0.0042231082916259766,205,cancer,classification,f1,5,150,0.9262226190185567,0.9779304728589698
CA,0.9781532068704714,0.963743798780295,0.05234980583190918,205,cancer,classification,f1,5,150,0.963743798780295,0.9781532068704714
DMCO,0.9629995866683673,0.9266362961812566,0.10084819793701172,84,cancer,classification,f1,5,150,0.9266362961812566,0.9629995866683673
DR,0.9089182811042203,0.8945867659646702,0.004328012466430664,0,cancer,classification,f1,6,180,0.8945867659646702,0.9089182811042203
DA,0.9168492052133099,0.870417581972327,0.053871870040893555,0,cancer,classification,f1,6,180,0.870417581972327,0.9168492052133099
CR,0.9853272592362515,0.9490241493644335,0.004258155822753906,246,cancer,classification,f1,6,180,0.9490241493644335,0.9853272592362515
CA,0.9853272592362515,0.9490241493644335,0.052583932876586914,246,cancer,classification,f1,6,180,0.9490241493644335,0.9853272592362515
DMCO,0.9629995866683673,0.9266362961812566,0.10049700736999512,100,cancer,classification,f1,6,180,0.9266362961812566,0.9629995866683673
DR,0.9089182811042203,0.8945867659646702,0.0046100616455078125,0,cancer,classification,f1,7,210,0.8945867659646702,0.9089182811042203
DA,0.9168492052133099,0.870417581972327,0.054476022720336914,0,cancer,classification,f1,7,210,0.870417581972327,0.9168492052133099
CR,0.9853272592362515,0.9416058394160584,0.0041577816009521484,287,cancer,classification,f1,7,210,0.9416058394160584,0.9853272592362515
CA,0.9634135086932353,0.9564024348956571,0.05220913887023926,287,cancer,classification,f1,7,210,0.9564024348956571,0.9634135086932353
DMCO,0.9629995866683673,0.9266362961812566,0.10055708885192871,116,cancer,classification,f1,7,210,0.9266362961812566,0.9629995866683673
DR,0.9089182811042203,0.8945867659646702,0.004334926605224609,0,cancer,classification,f1,8,240,0.8945867659646702,0.9089182811042203
DA,0.9168492052133099,0.870417581972327,0.05397987365722656,0,cancer,classification,f1,8,240,0.870417581972327,0.9168492052133099
CR,0.9853272592362515,0.9564024348956571,0.004273891448974609,328,cancer,classification,f1,8,240,0.9564024348956571,0.9853272592362515
CA,0.9853272592362515,0.9564024348956571,0.05180215835571289,328,cancer,classification,f1,8,240,0.9564024348956571,0.9853272592362515
