dataset,method,1,2,3,4,5,6,7,8,9,10
cancer,CA,0.9109171691526501,0.9564024348956571,0.963743798780295,0.963743798780295,0.963743798780295,0.9490241493644335,0.9564024348956571,0.9564024348956571,0.9564024348956571,0.963743798780295
cancer,CR,0.9103110216837553,0.9185990906704081,0.9114671428222682,0.9185990906704081,0.9262226190185567,0.9490241493644335,0.9416058394160584,0.9564024348956571,0.9564024348956571,0.9564024348956571
cancer,DA,0.870417581972327,0.870417581972327,0.870417581972327,0.870417581972327,0.870417581972327,0.870417581972327,0.870417581972327,0.870417581972327,0.870417581972327,0.870417581972327
cancer,DMCO,0.8945867659646702,0.9333992560030612,0.9257643076272083,0.9266362961812566,0.9266362961812566,0.9266362961812566,0.9266362961812566,0.9266362961812566,0.9266362961812566,0.9266362961812566
cancer,DR,0.8945867659646702,0.8945867659646702,0.8945867659646702,0.8945867659646702,0.8945867659646702,0.8945867659646702,0.8945867659646702,0.8945867659646702,0.8945867659646702,0.8945867659646702
nasa,CA,58.57699379475105,50.465124276534354,47.79677315342234,46.05279828703451,43.5944267146841,41.16216251382264,39.88611320291195,39.46777738593699,30.798247831726336,22.269323949424074
nasa,CR,58.57699379475105,50.465124276534354,47.83615164832379,47.2887274619992,44.06986983797251,41.16216251382264,40.468679587826145,38.07385046777303,30.97915870313713,22.40310052594533
nasa,DA,88.86574846964207,88.86574846964207,88.86574846964207,88.86574846964207,88.86574846964207,88.86574846964207,88.86574846964207,88.86574846964207,88.86574846964207,88.86574846964207
nasa,DMCO,46.219283773839216,47.13997502082652,48.38952713975567,48.37535271593018,49.67726999352548,49.91350947852,49.87674722108384,49.91775635937516,52.31767719049216,51.24758755687134
nasa,DR,88.86574846964207,88.86574846964207,88.86574846964207,88.86574846964207,88.86574846964207,88.86574846964207,88.86574846964207,88.86574846964207,88.86574846964207,88.86574846964207
soilmoisture,CA,0.8856274255390069,0.657423300801168,0.6186568470585199,0.5697553100481253,0.5693927795590253,0.5431587384492492,0.5258827060196889,0.46080590536343247,0.3674798752768242,0.563518242927541
soilmoisture,CR,0.8856274255390069,0.657423300801168,0.6186568470585199,0.5697553100481253,0.5693927795590253,0.5431587384492492,0.5258827060196889,0.46080590536343247,0.3674798752768242,0.563518242927541
soilmoisture,DA,1.2260703825577104,1.2260703825577104,1.2260703825577104,1.2260703825577104,1.2260703825577104,1.2260703825577104,1.2260703825577104,1.2260703825577104,1.2260703825577104,1.2260703825577104
soilmoisture,DMCO,0.9846346266229633,1.1190435967834587,0.6646557713215255,0.6608177490855368,0.7117995349852954,0.6630069725304405,1.1499907881501112,1.1877699764849723,0.4602146975051465,1.0917803604114265
soilmoisture,DR,1.2260703825577104,1.2260703825577104,1.2260703825577104,1.2260703825577104,1.2260703825577104,1.2260703825577104,1.2260703825577104,1.2260703825577104,1.2260703825577104,1.2260703825577104
